URL,IMAGE,DURATION,CHANNEL
https://www.youtube.com/watch?v=PoOHn2Z_6qs,https://i.ytimg.com/vi/PoOHn2Z_6qs/hq720.jpg?sqp=-oaymwEZCOgCEMoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAkM7Vfo4TOi44kJRfAa5x_7LMuEA,11:34,Intellectual Indies
https://www.youtube.com/watch?v=6XfvBb2L01Q,https://i.ytimg.com/vi/6XfvBb2L01Q/hq720.jpg?sqp=-oaymwEZCOgCEMoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAN5xkvkSZv46-AFlc9o6iq4aKNoQ,05:59,Social Media Examiner
https://www.youtube.com/watch?v=FYMjXD3G__Y,https://i.ytimg.com/vi/FYMjXD3G__Y/hqdefault.jpg?sqp=-oaymwEZCOADEI4CSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLApeQSmt1l0dH6ig-jBRZBO1vYY8g,17:19,Siraj Raval
https://www.youtube.com/watch?v=nc4bZbu2inc,https://i.ytimg.com/vi/nc4bZbu2inc/hq720.jpg?sqp=-oaymwEZCOgCEMoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDt_-j3fI-oVfRl7HlTWsvT8SIEAQ,06:46,HybridMark
https://www.youtube.com/watch?v=xAB8fvMQzSI,https://i.ytimg.com/vi/xAB8fvMQzSI/hq720.jpg?sqp=-oaymwEZCOgCEMoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBSFKGJXoOGI6gvmdlgjf1eHp3TmQ,06:01,HubSpot
https://www.youtube.com/watch?v=Ra_yTQnhf_8,https://i.ytimg.com/vi/Ra_yTQnhf_8/hq720.jpg?sqp=-oaymwEZCOgCEMoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLA9-eMCKguxWpwEb_S4UxfUsxaL_Q,05:03,Growth Tribe
https://www.youtube.com/watch?v=9WK8OGlJOCY,https://i.ytimg.com/vi/9WK8OGlJOCY/hq720.jpg?sqp=-oaymwEZCOgCEMoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDQLb2rbUZjyVKUK298oJL3Wb5sjg,11:46,Arpit Khurana
https://www.youtube.com/watch?v=0AYG4XlP1uk,https://i.ytimg.com/vi/0AYG4XlP1uk/hq720.jpg?sqp=-oaymwEZCOgCEMoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLAOBgF7DTOJjpCcRkVC3YSL3Pw4Vw,07:45,Neil Patel
https://www.youtube.com/watch?v=uk82DHcU7z8,https://i.ytimg.com/vi/uk82DHcU7z8/hq720.jpg?sqp=-oaymwEZCOgCEMoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLDPQ2omaz3HR45bHjCr-f_tIkFRoQ,03:17,Growth Tribe
https://www.youtube.com/watch?v=WJYOPXMWXxs,https://i.ytimg.com/vi/WJYOPXMWXxs/hq720.jpg?sqp=-oaymwEZCOgCEMoBSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCoJF68YExFIVwnUwE9tSrW5WhxVA,01:13,AI.MARKETING
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
